Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Haut-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,68,1,5,107,Gommersdorf,356,10,366
42,Alsace,68,1,10,108,Grentzingen,545,18,563
42,Alsace,68,2,18,109,Griesbach-au-Val,744,20,764
42,Alsace,68,2,2,110,Grussenheim,788,17,805
42,Alsace,68,3,21,111,Gueberschwihr,832,31,863
42,Alsace,68,3,8,112,Guebwiller,11440,326,11766
42,Alsace,68,5,20,113,Guémar,1352,38,1390
42,Alsace,68,1,5,114,Guevenatten,133,5,138
42,Alsace,68,6,25,115,Guewenheim,1333,23,1356
42,Alsace,68,3,21,116,Gundolsheim,741,19,760
42,Alsace,68,2,18,117,Gunsbach,941,16,957
42,Alsace,68,4,9,118,Habsheim,4944,69,5013
42,Alsace,68,1,5,119,Hagenbach,685,24,709
42,Alsace,68,4,11,120,Hagenthal-le-Bas,1188,26,1214
42,Alsace,68,4,11,121,Hagenthal-le-Haut,637,12,649
42,Alsace,68,3,24,122,Hartmannswiller,655,17,672
42,Alsace,68,3,21,123,Hattstatt,805,20,825
42,Alsace,68,1,1,124,Hausgauen,417,14,431
42,Alsace,68,1,5,125,Hecken,444,8,452
42,Alsace,68,4,11,126,Hégenheim,3265,86,3351
42,Alsace,68,1,1,127,Heidwiller,598,24,622
42,Alsace,68,1,10,128,Heimersdorf,650,13,663
42,Alsace,68,4,17,129,Heimsbrunn,1383,36,1419
42,Alsace,68,2,19,130,Heiteren,999,14,1013
42,Alsace,68,1,1,131,Heiwiller,182,2,184
42,Alsace,68,4,13,132,Helfrantzkirch,731,17,748
42,Alsace,68,1,10,133,Henflingen,205,4,209
42,Alsace,68,2,26,134,Herrlisheim-près-Colmar,1808,39,1847
42,Alsace,68,4,11,135,Hésingue,2541,52,2593
42,Alsace,68,2,19,136,Hettenschlag,337,2,339
42,Alsace,68,1,10,137,Hindlingen,643,6,649
42,Alsace,68,1,10,138,Hirsingue,2233,27,2260
42,Alsace,68,1,10,139,Hirtzbach,1393,24,1417
42,Alsace,68,3,6,140,Hirtzfelden,1189,23,1212
42,Alsace,68,1,1,141,Hochstatt,2085,41,2126
42,Alsace,68,2,18,142,Hohrod,303,8,311
42,Alsace,68,2,2,143,Holtzwihr,1358,35,1393
42,Alsace,68,4,31,144,Hombourg,1182,30,1212
42,Alsace,68,2,2,145,Horbourg-Wihr,5243,142,5385
42,Alsace,68,2,2,146,Houssen,1831,43,1874
42,Alsace,68,5,20,147,Hunawihr,589,14,603
42,Alsace,68,1,1,148,Hundsbach,333,2,335
42,Alsace,68,4,11,149,Huningue,6884,113,6997
42,Alsace,68,2,26,150,Husseren-les-Châteaux,490,13,503
42,Alsace,68,6,22,151,Husseren-Wesserling,989,29,1018
42,Alsace,68,1,1,152,Illfurth,2511,43,2554
42,Alsace,68,5,20,153,Illhaeusern,669,16,685
42,Alsace,68,4,31,154,Illzach,14812,306,15118
42,Alsace,68,5,12,155,Ingersheim,4621,83,4704
42,Alsace,68,3,24,156,Issenheim,3485,59,3544
42,Alsace,68,2,2,157,Jebsheim,1207,10,1217
42,Alsace,68,1,1,158,Jettingen,505,7,512
42,Alsace,68,3,24,159,Jungholtz,913,16,929
42,Alsace,68,4,13,160,Kappelen,552,8,560
42,Alsace,68,5,12,161,Katzenthal,538,12,550
42,Alsace,68,5,12,162,Kaysersberg,2705,78,2783
42,Alsace,68,4,13,163,Kembs,4855,92,4947
42,Alsace,68,5,12,164,Kientzheim,729,35,764
42,Alsace,68,1,7,165,Kiffis,230,4,234
42,Alsace,68,4,27,166,Kingersheim,12954,271,13225
42,Alsace,68,6,15,167,Kirchberg,816,16,832
42,Alsace,68,4,11,168,Knoeringue,356,11,367
42,Alsace,68,1,7,169,Koestlach,513,6,519
42,Alsace,68,4,13,170,Koetzingue,587,14,601
42,Alsace,68,6,22,171,Kruth,962,24,986
42,Alsace,68,2,2,172,Kunheim,1785,33,1818
42,Alsace,68,5,14,173,Labaroche,2244,62,2306
42,Alsace,68,4,13,174,Landser,1554,41,1595
42,Alsace,68,5,14,175,Lapoutroie,1924,51,1975
42,Alsace,68,1,10,176,Largitzen,308,3,311
42,Alsace,68,3,8,177,Lautenbach,1574,36,1610
42,Alsace,68,3,8,178,Lautenbachzell,974,22,996
42,Alsace,68,6,15,179,Lauw,938,32,970
42,Alsace,68,6,25,180,Leimbach,838,19,857
42,Alsace,68,1,7,181,Levoncourt,244,1,245
42,Alsace,68,4,11,182,Leymen,1165,37,1202
42,Alsace,68,4,11,183,Liebenswiller,201,5,206
42,Alsace,68,1,7,184,Liebsdorf,342,6,348
42,Alsace,68,5,23,185,Lièpvre,1710,24,1734
42,Alsace,68,1,7,186,Ligsdorf,321,8,329
42,Alsace,68,1,7,187,Linsdorf,322,13,335
42,Alsace,68,3,8,188,Linthal,646,11,657
42,Alsace,68,2,19,189,Logelheim,838,22,860
42,Alsace,68,1,7,190,Lucelle,39,1,40
42,Alsace,68,1,1,191,Luemschwiller,709,4,713
42,Alsace,68,2,18,193,Luttenbach-près-Munster,754,17,771
42,Alsace,68,1,7,194,Lutter,291,10,301
42,Alsace,68,4,27,195,Lutterbach,6192,138,6330
42,Alsace,68,1,5,196,Magny,295,2,297
42,Alsace,68,4,13,197,Magstatt-le-Bas,481,15,496
42,Alsace,68,4,13,198,Magstatt-le-Haut,276,3,279
42,Alsace,68,6,22,199,Malmerspach,522,7,529
42,Alsace,68,1,5,200,Manspach,556,4,560
42,Alsace,68,6,15,201,Masevaux,3334,39,3373
42,Alsace,68,1,10,202,Mertzen,222,1,223
42,Alsace,68,3,24,203,Merxheim,1287,19,1306
42,Alsace,68,2,18,204,Metzeral,1090,21,1111
42,Alsace,68,3,6,205,Meyenheim,1742,9,1751
42,Alsace,68,6,25,206,Michelbach,354,6,360
42,Alsace,68,4,11,207,Michelbach-le-Bas,708,22,730
42,Alsace,68,4,11,208,Michelbach-le-Haut,587,5,592
42,Alsace,68,5,12,209,Mittelwihr,831,19,850
42,Alsace,68,2,18,210,Mittlach,339,13,352
42,Alsace,68,6,22,211,Mitzach,420,14,434
42,Alsace,68,1,7,212,Moernach,583,15,598
42,Alsace,68,6,22,213,Mollau,392,8,400
42,Alsace,68,1,5,214,Montreux-Jeune,341,11,352
42,Alsace,68,1,5,215,Montreux-Vieux,888,13,901
42,Alsace,68,6,22,217,Moosch,1721,28,1749
42,Alsace,68,1,7,216,Mooslargue,437,15,452
42,Alsace,68,4,17,218,Morschwiller-le-Bas,3527,91,3618
42,Alsace,68,6,15,219,Mortzwiller,332,12,344
42,Alsace,68,1,7,221,Muespach,839,19,858
42,Alsace,68,1,7,222,Muespach-le-Haut,1023,23,1046
42,Alsace,68,2,18,223,Muhlbach-sur-Munster,739,14,753
42,Alsace,68,4,99,224,Mulhouse,110755,1768,112523
42,Alsace,68,3,6,225,Munchhouse,1617,32,1649
42,Alsace,68,2,18,226,Munster,4791,111,4902
42,Alsace,68,2,2,227,Muntzenheim,1118,39,1157
42,Alsace,68,3,6,228,Munwiller,468,13,481
42,Alsace,68,3,8,229,Murbach,140,3,143
42,Alsace,68,2,19,230,Nambsheim,601,6,607
42,Alsace,68,2,19,231,Neuf-Brisach,1997,21,2018
42,Alsace,68,4,11,232,Neuwiller,535,15,550
42,Alsace,68,6,15,233,Niederbruck,464,15,479
42,Alsace,68,3,6,234,Niederentzen,544,7,551
42,Alsace,68,3,6,235,Niederhergheim,1021,17,1038
42,Alsace,68,5,12,237,Niedermorschwihr,541,22,563
42,Alsace,68,4,31,238,Niffer,960,19,979
42,Alsace,68,6,15,239,Oberbruck,428,10,438
