"","Code.région","Nom.de.la.région","Code.département","Code.arrondissement","Code.canton","Code.commune","Nom.de.la.commune","Population.municipale","Population.comptée.à.part","Population.totale"
"91",42,"Alsace",67,4,6,67095,"Diemeringen",1642,43,1685
"92",42,"Alsace",67,4,13,67096,"Dimbsthal",300,6,306
"93",42,"Alsace",67,6,31,67097,"Dingsheim",1312,24,1336
"94",42,"Alsace",67,3,14,67098,"Dinsheim-sur-Bruche",1378,26,1404
"95",42,"Alsace",67,4,20,67099,"Domfessel",323,4,327
"96",42,"Alsace",67,6,5,67100,"Donnenheim",260,5,265
"97",42,"Alsace",67,3,14,67101,"Dorlisheim",2507,44,2551
"98",42,"Alsace",67,6,31,67102,"Dossenheim-Kochersberg",236,5,241
"99",42,"Alsace",67,4,4,67103,"Dossenheim-sur-Zinsel",1112,25,1137
"100",42,"Alsace",67,7,26,67104,"Drachenbronn-Birlenbach",919,19,938
"101",42,"Alsace",67,4,6,67105,"Drulingen",1471,23,1494
"102",42,"Alsace",67,2,3,67106,"Drusenheim",5089,56,5145
"103",42,"Alsace",67,6,10,67107,"Duntzenheim",618,8,626
"104",42,"Alsace",67,6,8,67108,"Duppigheim",1563,19,1582
"105",42,"Alsace",67,6,31,67109,"Durningen",645,17,662
"106",42,"Alsace",67,7,35,67110,"Durrenbach",1084,33,1117
"107",42,"Alsace",67,4,6,67111,"Durstel",411,14,425
"108",42,"Alsace",67,3,14,67112,"Duttlenheim",2807,24,2831
"109",42,"Alsace",67,7,25,67113,"Eberbach-Seltz",436,5,441
"110",42,"Alsace",67,5,24,67115,"Ebersheim",2312,33,2345
"111",42,"Alsace",67,5,24,67116,"Ebersmunster",479,35,514
"112",42,"Alsace",67,4,21,67117,"Eckartswiller",422,9,431
"113",42,"Alsace",67,6,43,67118,"Eckbolsheim",6619,97,6716
"114",42,"Alsace",67,6,5,67119,"Eckwersheim",1370,18,1388
"115",42,"Alsace",67,5,1,67120,"Eichhoffen",558,10,568
"116",42,"Alsace",67,5,12,67121,"Elsenheim",819,15,834
"117",42,"Alsace",67,2,15,67123,"Engwiller",467,6,473
"118",42,"Alsace",67,6,8,67124,"Entzheim",2007,24,2031
