Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Bas-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,67,6,10,107,Duntzenheim,618,8,626
42,Alsace,67,6,8,108,Duppigheim,1563,19,1582
42,Alsace,67,6,31,109,Durningen,645,17,662
42,Alsace,67,7,35,110,Durrenbach,1084,33,1117
42,Alsace,67,4,6,111,Durstel,411,14,425
42,Alsace,67,3,14,112,Duttlenheim,2807,24,2831
42,Alsace,67,7,25,113,Eberbach-Seltz,436,5,441
42,Alsace,67,5,24,115,Ebersheim,2312,33,2345
42,Alsace,67,5,24,116,Ebersmunster,479,35,514
42,Alsace,67,4,21,117,Eckartswiller,422,9,431
42,Alsace,67,6,43,118,Eckbolsheim,6619,97,6716
42,Alsace,67,6,5,119,Eckwersheim,1370,18,1388
42,Alsace,67,5,1,120,Eichhoffen,558,10,568
42,Alsace,67,5,12,121,Elsenheim,819,15,834
42,Alsace,67,2,15,123,Engwiller,467,6,473
42,Alsace,67,6,8,124,Entzheim,2007,24,2031
42,Alsace,67,5,1,125,Epfig,2217,86,2303
42,Alsace,67,4,17,126,Erckartswiller,309,3,312
42,Alsace,67,3,14,127,Ergersheim,1252,25,1277
42,Alsace,67,3,14,128,Ernolsheim-Bruche,1773,27,1800
42,Alsace,67,4,21,129,Ernolsheim-lès-Saverne,602,15,617
42,Alsace,67,5,7,130,Erstein,10764,162,10926
42,Alsace,67,6,8,131,Eschau,4738,65,4803
42,Alsace,67,7,35,132,Eschbach,933,19,952
42,Alsace,67,4,17,133,Eschbourg,501,14,515
42,Alsace,67,4,6,134,Eschwiller,192,4,196
42,Alsace,67,6,10,135,Ettendorf,795,21,816
42,Alsace,67,4,6,136,Eywiller,265,3,268
42,Alsace,67,6,8,137,Fegersheim,5443,90,5533
42,Alsace,67,6,31,138,Fessenheim-le-Bas,534,5,539
42,Alsace,67,3,33,139,Flexbourg,499,13,512
42,Alsace,67,2,3,140,Forstfeld,730,5,735
42,Alsace,67,7,35,141,Forstheim,574,6,580
42,Alsace,67,2,3,142,Fort-Louis,321,3,324
42,Alsace,67,5,32,143,Fouchy,669,10,679
42,Alsace,67,3,23,144,Fouday,358,5,363
42,Alsace,67,6,10,145,Friedolsheim,257,0,257
42,Alsace,67,5,2,146,Friesenheim,630,8,638
42,Alsace,67,7,35,147,Froeschwiller,529,13,542
42,Alsace,67,4,17,148,Frohmuhl,186,4,190
42,Alsace,67,4,21,149,Furchhausen,417,16,433
42,Alsace,67,6,31,150,Furdenheim,1278,8,1286
42,Alsace,67,6,5,151,Gambsheim,4572,52,4624
42,Alsace,67,6,8,152,Geispolsheim,7124,95,7219
42,Alsace,67,6,10,153,Geiswiller,195,2,197
42,Alsace,67,5,7,154,Gerstheim,3249,31,3280
42,Alsace,67,5,1,155,Gertwiller,1195,25,1220
42,Alsace,67,6,5,156,Geudertheim,2310,20,2330
42,Alsace,67,6,10,158,Gingsheim,319,4,323
42,Alsace,67,4,6,159,Goerlingen,250,3,253
42,Alsace,67,7,35,160,Goersdorf,1121,27,1148
